475.0 534.0,510.0 522.0,509.0 481.0,569.0 483.0,552.0 529.0,598.0 533.0,595.0 464.0,474.0 431.0-439000
331.0 510.0,281.0 478.0,398.0 328.0,446.0 363.0-603000
280.0 475.0,225.0 439.0,342.0 285.0,398.0 327.0-451000
226.0 439.0,173.0 400.0,289.0 253.0,342.0 288.0-427000
172.0 399.0,123.0 366.0,238.0 220.0,289.0 253.0-567000
123.0 366.0,68.0 326.0,183.0 181.0,239.0 219.0-720000
68.0 328.0,13.0 294.0,132.0 147.0,182.0 180.0-650000
14.0 291.0,6.0 285.0,7.0 54.0,132.0 146.0-2000000
542.0 391.0,482.0 347.0,546.0 254.0,576.0 275.0-410000
484.0 347.0,434.0 316.0,548.0 143.0,582.0 143.0,574.0 275.0,549.0 254.0-439000
433.0 312.0,383.0 280.0,447.0 186.0,362.0 131.0,549.0 143.0-418000
381.0 277.0,333.0 246.0,398.0 157.0,447.0 186.0-549000
333.0 243.0,284.0 211.0,349.0 121.0,397.0 154.0-353000
284.0 212.0,234.0 177.0,302.0 78.0,353.0 111.0-461000
233.0 176.0,183.0 143.0,246.0 71.0,289.0 98.0-413000
186.0 143.0,134.0 108.0,213.0 6.0,298.0 8.0-1600000
288.0 96.0,246.0 67.0,297.0 8.0,400.0 7.0,311.0 81.0,303.0 77.0-11000
420.0 110.0,341.0 101.0,310.0 81.0,399.0 7.0,421.0 6.0-522000
418.0 110.0,480.0 112.0,420.0 7.0,481.0 9.0-596000
535.0 112.0,482.0 111.0,482.0 7.0,533.0 7.0-481000
589.0 115.0,534.0 113.0,532.0 7.0,591.0 8.0-479000
